,Unnamed: 0,date,text,GPE,gpe,country,score
16081,16081,2014-11-03 18:46:48,The prestigious 800-acre @TrumpDoral boast luxurious event spaces and 5 Star restaurants  http://t.co/E2BnVQeO0M,[],,,
30065,30065,2017-07-26 10:49:28,Will be back soon!,[],,,
28387,28387,2017-01-18 14:03:53,.,[],,,
6684,6684,2013-01-28 16:30:15,Is Gov.,[],,,
18986,18986,2015-07-23 17:18:23,Great!,[],,,
13979,13979,2014-04-20 07:12:41,HAPPY EASTER - HAVE A GREAT DAY!,[],,,
23393,23393,2016-03-09 01:14:50,Thank you!,[],,,
12619,12619,2013-11-18 12:59:03,?,[],,,
25462,25462,2016-07-15 14:50:55,I am pleased to announce that I have chosen Governor Mike Pence as my Vice Presidential running mate.,[],,,
51853,51853,2019-11-05 17:19:46,#VoteOnNov5 #ElectionDay Find your polling location below!https://t.co/0rnhb4z3HU,[],,,
29900,29900,2017-07-13 12:50:16,Melania and I were thrilled to join the dedicated men and women of the @USEmbassyFrance members of the U.S. Military and their families.,[],,,
51645,51645,2019-11-02 21:11:14,@HouseDemocrats have been holding a closed-door investigation in @RepAdamSchiff’s basement.,[],,,
36875,36875,2018-08-17 14:17:03,This could be a career threatening statement by Andrew Cuomo with many wanting him to resign-he will get higher ratings than his brother Chris!,[],,,
1102,1102,2011-11-29 20:14:31,They should start lending to private entrepreneurs.,[],,,
32865,32865,2018-01-25 17:25:53,#WEF18 https://t.co/FPP8aRDAyt,[],,,
7658,7658,2013-02-25 21:26:47,RT @NRCC: Good to hear @realDonaldTrump is on board.GOP is the party of free enterprise.Join us as we innovate: http://t.co/RhGNVk4O9r,[],,,
29814,29814,2017-07-06 17:21:18,https://t.co/sozuVgdp5T,[],,,
3848,3848,2012-09-19 13:05:30,@RowRee It will be fantastic!,[],,,
55832,55832,2020-01-17 13:48:01,https://t.co/sKPAW8e8qN,[],,,
21085,21085,2015-12-06 14:32:50,Was going to do a phoner this morning with @jaketapper on @CNN but they could not get their phone equipment to hook in.,[],,,
42182,42182,2019-03-25 17:26:24,https://t.co/G4RNXzoWqc,[],,,
23203,23203,2016-03-02 23:34:13,(2/2),[],,,
52880,52880,2019-11-24 20:00:20,RT @MZHemingway: The first phase of impeachment did not go well for Democrats.,[],,,
27485,27485,2016-10-20 02:59:26,That was really exciting.,[],,,
19564,19564,2015-09-08 19:44:50,Right after he left he went to work for Lehman Brothers—wow!,[],,,
11224,11224,2013-08-14 19:07:27,@PGATOUR just signed for 10 yr ext.,[],,,
38778,38778,2018-10-30 02:50:31,Really big help with Tax Cuts the Military and our great Vets.,[],,,
3943,3943,2012-09-25 18:44:35,...well into our 4th week of shooting the record 13th season of @CelebApprentice.,[],,,
33165,33165,2018-02-21 14:03:32,Why aren’t Dem crimes under investigation?,[],,,
13020,13020,2013-12-16 21:38:13,Learn to economize.,[],,,
